Year,Player Name,Team,Position,Region,Seed,Season PPG,R1,R2,R3,R4,R5,R6,Total
2013,A.J. Davis,North Carolina A&T State University,G,East,16,,7,0,0,0,0,0,7
2013,Aaron Bowen,North Carolina A&T State University,F,East,16,,8,0,0,0,0,0,8
2013,Aaron Craft,North Carolina A&T State University,G,East,16,,4,18,13,9,0,0,44
2013,Adonis Thomas,North Carolina A&T State University,G-F,East,16,,12,5,0,0,0,0,17
2013,Adreian Payne,North Carolina A&T State University,C,East,16,,7,14,14,0,0,0,35
2013,Adrian Powell,North Carolina A&T State University,F,East,16,,8,0,0,0,0,0,8
2013,Agunwa Okolie,North Carolina A&T State University,G,East,16,,0,0,0,0,0,0,0
2013,Aleksej Rostov,North Carolina A&T State University,F,East,16,,11,0,0,0,0,0,11
2013,Alex Barlow,North Carolina A&T State University,G,East,16,,10,4,0,0,0,0,14
2013,Alex Gauna,North Carolina A&T State University,F,East,16,,0,0,0,0,0,0,0
2013,Alex Kirk,North Carolina A&T State University,C,East,16,,22,0,0,0,0,0,22
2013,Alex Murphy,North Carolina A&T State University,F,East,16,,0,0,0,0,0,0,0
2013,Alex Nesbitt,North Carolina A&T State University,G,East,16,,0,0,0,0,0,0,0
2013,Alex Olsen,North Carolina A&T State University,F,East,16,,0,0,0,0,0,0,0
2013,Alex Oriakhi,North Carolina A&T State University,F,East,16,,16,0,0,0,0,0,16
2013,Alex Rogers,North Carolina A&T State University,G,East,16,,0,0,0,0,0,0,0
2013,Alioune Diouf,North Carolina A&T State University,G,East,16,,5,0,0,0,0,0,5
2013,Allen Crabbe,North Carolina A&T State University,G,East,16,,19,8,0,0,0,0,27
2013,Amath M'Baye,North Carolina A&T State University,F,East,16,,8,0,0,0,0,0,8
2013,Amedeo Della Valle,North Carolina A&T State University,G,East,16,,2,0,0,0,0,0,2
2013,Amile Jefferson,North Carolina A&T State University,F,East,16,,0,2,0,0,0,0,2
2013,Amir Williams,North Carolina A&T State University,C,East,16,,2,1,2,0,0,0,5
2013,Andre Hollins,North Carolina A&T State University,G,East,16,,28,25,0,0,0,0,53
2013,Andre Ingram,North Carolina A&T State University,F,East,16,,0,4,0,0,0,0,4
2013,Andre Nation,North Carolina A&T State University,G,East,16,,24,0,0,0,0,0,24
2013,Andre Roberson,North Carolina A&T State University,F,East,16,,9,0,0,0,0,0,9
